Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.178:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.36615384615382fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.201:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.3323076923077fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.178:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.32250000000002fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.134:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.18571428571428fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.201:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.03416666666666fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.135:5140$720x576, Date: None, Resolution: 720x576, Response Time: 225.9625fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.217:5140$720x576, Date: None, Resolution: 720x576, Response Time: 225.12666666666664fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.201:5140$720x576, Date: None, Resolution: 720x576, Response Time: 224.95749999999998fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.72:5140$720x576, Date: None, Resolution: 720x576, Response Time: 224.69833333333335fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.164:5140$720x576, Date: None, Resolution: 720x576, Response Time: 224.006fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.166:5140$720x576, Date: None, Resolution: 720x576, Response Time: 223.56071428571428fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.128:5140$720x576, Date: None, Resolution: 720x576, Response Time: 223.4742857142857fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.166:5140$720x576, Date: None, Resolution: 720x576, Response Time: 223.21076923076922fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.217:5140$720x576, Date: None, Resolution: 720x576, Response Time: 221.25285714285715fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.164:5140$720x576, Date: None, Resolution: 720x576, Response Time: 219.64142857142858fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.202.22:5140$720x576, Date: None, Resolution: 720x576, Response Time: 219.51923076923077fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.178:5140$720x576, Date: None, Resolution: 720x576, Response Time: 219.27384615384614fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.165:5140$720x576, Date: None, Resolution: 720x576, Response Time: 219.21538461538464fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.216:5140$720x576, Date: None, Resolution: 720x576, Response Time: 219.20153846153846fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.1:5140$720x576, Date: None, Resolution: 720x576, Response Time: 218.7092307692308fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.202.21:5140$720x576, Date: None, Resolution: 720x576, Response Time: 218.39285714285717fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.243:5140$720x576, Date: None, Resolution: 720x576, Response Time: 215.8928571428571fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.134:5140$720x576, Date: None, Resolution: 720x576, Response Time: 214.61571428571432fps
